Mes pago tarjeta;Fecha gasto;descripcion;importe;Tarjeta;Cuota;Con cuota;cantidad cuotas;Cierra;Vence;¿ Vencido ?;Agrupado;actual y proximo;Cuota Finalizada;tipo
44256;44195;HAKA;-330;VISA SANTANDER;3;Si;3;44265;44275;Vencido;GASTO;No;VERDADERO;REAL
44197;44193;DIA;-1636,18;VISA SANTANDER;1;No;1;44206;44216;Vencido;GASTO;No;VERDADERO;REAL
44197;44205;FUTBOL;-300;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44207;SUPERMERCADO CHINO;-600;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44209;PANADERIA;-340;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44209;FUNDA SILLON;-360;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44228;44207;DIA;-678,03;VISA SANTANDER;1;No;1;44237;44237;Vencido;GASTO;No;VERDADERO;REAL
44228;44206;FUNDA SILLON;-700;VISA SANTANDER;1;Si;6;44237;44237;Vencido;GASTO;No;FALSO;REAL
44256;44206;FUNDA SILLON;-700;VISA SANTANDER;2;Si;6;44237;44237;Vencido;GASTO;No;FALSO;REAL
44287;44206;FUNDA SILLON;-700;VISA SANTANDER;3;Si;6;44294;44305;Vencido;GASTO;No;FALSO;REAL
44317;44206;FUNDA SILLON;-700;VISA SANTANDER;4;Si;6;44322;44333;Vencido;GASTO;No;FALSO;REAL
44348;44206;FUNDA SILLON;-700;VISA SANTANDER;5;Si;6;44357;44369;Vencido;GASTO;No;FALSO;REAL
44378;44206;FUNDA SILLON;-700;VISA SANTANDER;6;Si;6;44385;44396;Vencido;GASTO;No;VERDADERO;REAL
44228;44208;DIA;-871,02;VISA SANTANDER;1;No;1;44237;44237;Vencido;GASTO;No;VERDADERO;REAL
44228;44209;HERBALIFE;-4560;VISA SANTANDER;1;No;1;44237;44237;Vencido;GASTO;No;VERDADERO;REAL
44228;44210;TACHO DE BASURA CHICO;-638;MERCADO PAGO;1;Si;3;44217;44228;Vencido;GASTO;No;FALSO;REAL
44256;44210;TACHO DE BASURA CHICO;-638;MERCADO PAGO;2;Si;3;44248;44256;Vencido;GASTO;No;FALSO;REAL
44287;44210;TACHO DE BASURA CHICO;-638;MERCADO PAGO;3;Si;3;44280;44293;Vencido;GASTO;No;VERDADERO;REAL
44228;44202;DIEGO CHACARIT;-360;MERCADO PAGO;1;No;1;44217;44228;Vencido;GASTO;No;VERDADERO;REAL
44197;44212;FUTBOL;-250;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44212;ENVIO NOTEBOOK PELA;-200;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44212;VERDULERIA;-1300;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44228;44211;TACHO DE BASURA;-1140,34;MERCADO PAGO;1;Si;3;44217;44228;Vencido;GASTO;No;FALSO;REAL
44256;44211;TACHO DE BASURA;-1140,34;MERCADO PAGO;2;Si;3;44248;44256;Vencido;GASTO;No;FALSO;REAL
44287;44211;TACHO DE BASURA;-1140,34;MERCADO PAGO;3;Si;3;44280;44293;Vencido;GASTO;No;VERDADERO;REAL
44197;44215;VERDULERIA;-1070;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44220;CUMPLE BAUTI;-800;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44220;SUPERMERCADO CHINO;-285;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44219;FUTBOL;-300;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44219;SALIDA AMIGOS;-289;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44220;PANADERIA;-180;GASTOS NO CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44220;VERDULERIA;-250;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44221;POLLERIA;-3659;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44197;44221;VERDULERIA;-800;GASTOS CORRIENTES;1;No;1;44197;44197;Vencido;GASTO;No;VERDADERO;REAL
44228;44219;DIA;-1298;VISA SANTANDER;1;No;1;44238;44249;Vencido;GASTO;No;VERDADERO;REAL
44228;44219;FARMACITY;-2325;VISA SANTANDER;1;No;1;44238;44249;Vencido;GASTO;No;VERDADERO;REAL
